component_id,depends_on_id
comp_server_hw,comp_bmc
comp_server_hw,comp_switch_os
comp_gpu_node,comp_server_hw
comp_gpu_node,comp_chip
comp_os,comp_server_hw
comp_db,comp_os
comp_inference_svc,comp_gpu_node
comp_inference_svc,comp_os
comp_inference_svc,comp_crypto_lib
comp_training_pipeline,comp_gpu_node
comp_training_pipeline,comp_dataset_lib
comp_training_pipeline,comp_helper_lib
comp_auth_svc,comp_os
comp_auth_svc,comp_db
comp_auth_svc,comp_crypto_lib
comp_logging,comp_os
comp_monitoring,comp_os
comp_monitoring,comp_logging
comp_api_gateway,comp_auth_svc
comp_api_gateway,comp_inference_svc
comp_api_gateway,comp_logging
comp_web_portal,comp_api_gateway
